iter	RMSE
0	1768950.595
1	1743388.163
2	1718412.597
3	1694646.658
4	1673671.928
5	1653269.136
6	1634281.261
7	1613813.324
8	1596680.084
9	1578252.661
10	1562033.072
11	1546272.214
12	1531908.913
13	1516476.622
14	1501978.105
15	1489581.417
16	1476207.859
17	1461716.383
18	1447276.701
19	1434870.756
20	1421865.534
21	1406328.454
22	1393562.177
23	1382215.059
24	1371311.207
25	1362326.464
26	1349335.393
27	1343110.359
28	1332089.887
29	1322237.461
30	1311150.849
31	1305279.909
32	1298067.614
33	1291697.469
34	1287197.374
35	1283052.571
36	1275161.235
37	1267525.585
38	1260536.372
39	1251870.473
40	1242236.702
41	1236671.41
42	1233259.797
43	1223165.274
44	1216891.622
45	1209241.354
46	1203453.963
47	1199715.309
48	1193450.703
49	1189973.376
50	1184203.932
51	1179856.949
52	1174704.191
53	1169212.303
54	1165714.828
55	1162442.311
56	1157994.5
57	1153283.876
58	1143901.734
59	1138220.523
60	1135169.037
61	1133060.396
62	1127681.669
63	1126331.302
64	1123943.354
65	1117306.565
66	1109985.066
67	1104522.701
68	1101122.115
69	1096055.61
70	1094107.441
71	1091135.346
72	1085564.053
73	1078938.444
74	1077034.956
75	1074001.871
76	1070328.055
77	1065187.99
78	1061135.237
79	1058582.673
80	1055120.26
81	1050349.341
82	1048969.276
83	1048055.787
84	1044547.799
85	1039163.717
86	1038107.392
87	1033230.415
88	1029684.415
89	1022153.729
90	1021037.718
91	1014359.296
92	1009199.123
93	1008243.006
94	1006496.06
95	1002925.502
96	1001342.29
97	1000002.796
98	997481.5278
99	995703.4629
