iter	Passed	Remaining
0	1	170
1	2	135
2	4	135
3	5	133
4	6	122
5	7	115
6	8	110
7	9	107
8	10	103
9	11	100
10	11	96
11	12	94
12	14	95
13	15	95
14	16	92
15	17	90
16	18	89
17	19	86
18	19	84
19	20	82
20	21	80
21	22	78
22	22	76
23	23	75
24	24	73
25	25	71
26	26	70
27	26	69
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	32	62
34	33	61
35	35	62
36	36	62
37	37	60
38	38	59
39	38	58
40	39	57
41	40	55
42	41	54
43	42	53
44	43	52
45	44	52
46	45	51
47	46	50
48	47	49
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	56	42
57	57	41
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	77	20
79	78	19
80	79	18
81	80	17
82	81	16
83	82	15
84	82	14
85	83	13
86	85	12
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	91	6
93	92	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
