title,box_off_num
용서는 없다,1214873.4326757316
아빠가 여자를 좋아해,568692.8856476024
의형제,1456281.9288129595
맨발의 꿈,610289.5862603912
더 킥,105679.07540057687
모비딕,650646.4591847453
내가 살인범이다,1165462.5512019033
간기남,460171.2955479235
동창생,1275573.3765712732
용의자,2560391.036801058
박수건달,2391112.499382681
조선미녀삼총사,873494.2331385177
군도: 민란의 시대,2301208.561713709
극비수사,866532.8557877719
사도,1983512.4196455423
하모니,1028169.5389246792
평행 이론,626790.9405510187
요술,188456.19917509827
마법천자문: 대마왕의 부활을 막아라,65888.05208885047
된장,404285.55596771155
티끌모아 로맨스,84374.08181551314
완득이,720296.3641784088
도가니,236698.94529414762
퀵,663032.9243880077
수상한 고객들,1210466.792126614
간증,29153.90593546944
글러브,896611.1709447384
나의 PS 파트너,221210.80057959253
늑대소년,925782.8416421397
용의자X,1054512.6527826386
I AM,143814.6515517206
시체가 돌아왔다,727861.6208749374
밀월도 가는 길,31578.436073428093
점박이:한반도의 공룡3D,53846.6937442364
댄싱퀸,1476736.9491310352
좋은 친구들,1003496.5199569867
사이코메트리,242419.08226361105
그 강아지 그 고양이,49733.82413050718
마이 리틀 히어로,645918.2529456996
찌라시: 위험한 소문,1362743.1618252946
우는 남자,1325904.1934871424
표적,634216.0897101386
메이크 유어 무브,145384.29841480538
방황하는 칼날,1143669.620322135
명량,2548132.258138893
은밀한 유혹,1254166.8493819698
무뢰한,436912.7571838569
장수상회,979562.4844826092
돼지 같은 여자,109923.06384670579
베테랑,1763007.3338041836
회오리 바람,282.5390296761351
경계도시 2,3535.2889721196643
종로의 기적,4858.955506227285
투 올드 힙합 키드,3899.5417755965823
두 개의 문,4016.6211090625306
굿바이 홈런,3755.4887463112195
노라노,3728.29552989499
잡식가족의 딜레마,4078.128577315613
이웃집 남자,183.8979253902131
아마존의 눈물 극장판,1874.6156395136043
미스터 좀비,1383.5963375906574
창피해,1933.0282284875552
환타스틱 모던가야그머,2784.5751067156248
맥코리아,1694.0762196256865
한경직,1754.5464633923002
황제펭귄 펭이와 솜이,1688.304609610247
슈퍼피쉬 - 끝없는 여정,1655.8971902899752
그댄 나의 뱀파이어,1490.2554989280916
카토 프로젝트,1468.399648521308
원 컷 - 어느 친절한 살인자의 기록,1065.8805528266403
왓니껴,2901.7454992028606
바세코의 아이들,1657.4761476440872
"제자, 옥한흠",2831.903655253872
혜경궁 홍씨,2130.0328337359197
말하지 못한 비밀,1967.955571877178
반가운 살인자,2589.530581143808
집 나온 남자들,260953.85219819171
커플즈,221097.5898337145
베스트셀러,699857.2266163148
작은 연못,4641.458908921637
경,3378.0442544964626
조금만 더 가까이,4020.850611763767
브라보! 재즈 라이프,5992.773593161183
