title,box_off_num
용서는 없다,1251251.2785770653
아빠가 여자를 좋아해,929365.6153103778
의형제,1356634.3954307013
맨발의 꿈,1869871.9422232055
더 킥,446772.38153242844
모비딕,964211.7765239547
내가 살인범이다,2909450.0049280776
간기남,750982.5488752003
동창생,1305928.7366356617
용의자,4417697.781660583
박수건달,4003772.7645521252
조선미녀삼총사,924485.6327379114
군도: 민란의 시대,3485174.216181266
극비수사,750457.4652164747
사도,2559034.552734778
하모니,998892.5558929178
평행 이론,840374.1666209472
요술,105930.79589971769
마법천자문: 대마왕의 부활을 막아라,121286.39209953981
된장,582972.5329137428
티끌모아 로맨스,39276.33675472353
완득이,671116.2373616707
도가니,174646.9236406047
퀵,466081.3237269466
수상한 고객들,1689709.6648535337
간증,18343.540017055973
글러브,1077718.79722037
나의 PS 파트너,1069165.514847407
늑대소년,1830751.7957879587
용의자X,1733860.1514429636
I AM,147486.3457842751
시체가 돌아왔다,1301236.6659954176
밀월도 가는 길,17894.4464299649
점박이:한반도의 공룡3D,70489.31154205458
댄싱퀸,2872577.0205033375
좋은 친구들,1627542.3514904536
사이코메트리,614558.6866904553
그 강아지 그 고양이,40416.69197875084
마이 리틀 히어로,1659911.4135840782
찌라시: 위험한 소문,1848769.018614383
우는 남자,1587962.637230322
표적,841194.8843012177
메이크 유어 무브,409704.8762766887
방황하는 칼날,1697090.7007884646
명량,6600147.873410027
은밀한 유혹,1373311.4473311417
무뢰한,1520310.8616849591
장수상회,853129.8877377894
돼지 같은 여자,95647.15805197014
베테랑,2716457.499235316
회오리 바람,11.845682892012464
경계도시 2,2639.2180075587694
종로의 기적,5019.73746042052
투 올드 힙합 키드,4593.262690610571
두 개의 문,2776.8631934940463
굿바이 홈런,3643.1266521043826
노라노,5474.722870942927
잡식가족의 딜레마,7994.566610757945
이웃집 남자,9.024383029888572
아마존의 눈물 극장판,1767.2722179661487
미스터 좀비,1014.19508593828
창피해,1507.6727257888567
환타스틱 모던가야그머,1137.980473812415
맥코리아,1381.6266049147296
한경직,1089.9334166071767
황제펭귄 펭이와 솜이,605.7333057471834
슈퍼피쉬 - 끝없는 여정,490.3763505168248
그댄 나의 뱀파이어,1109.100054820969
카토 프로젝트,370.62754367015384
원 컷 - 어느 친절한 살인자의 기록,994.100606132491
왓니껴,1295.769613101662
바세코의 아이들,954.9790815447737
"제자, 옥한흠",2378.470869444419
혜경궁 홍씨,1376.1522327157695
말하지 못한 비밀,1760.5539863582924
반가운 살인자,12.278219666036424
집 나온 남자들,161967.43860378853
커플즈,307305.8794577853
베스트셀러,370306.0423221678
작은 연못,11.606621801802877
경,2567.2991045877206
조금만 더 가까이,7327.898339521089
브라보! 재즈 라이프,5090.018392186968
환상속의 그대,6177.861638544841
  이것이 우리의 끝이다,5875.654630631381
족구왕,11793.978857944607
대한민국 1%,513596.0316975227
포화 속으로,1667686.8243145216
쩨쩨한 로맨스,972074.2075127426
오늘,94210.31159721418
회초리,527743.3899192672
체포왕,825743.1105066617
나는 아빠다,555688.4715384578
위험한 상견례,810129.3510542444
가문의 귀환,279159.17085904855
음치 클리닉,810108.9436533065
미운오리새끼,69443.26642967036
후궁 : 제왕의 첩,1184705.1240695575
"안녕, 하세요!",105647.68459992942
은교,58200.63291954029
파파,323945.58543100406
남쪽으로 튀어,992100.3573601346
마이 라띠마,113074.46600892005
더 테러 라이브,383852.39396861807
소원,105551.9483687974
캐치미,457076.3638654751
하이힐,1681604.9630792025
10분,51116.789166425086
기술자들,920867.20534543
간신,1829937.6331355597
나쁜 놈이 더 잘 잔다,2234.6669729448595
오래된 인력거,2340.743638877318
링크,2890.420198189329
수상한 이웃들,6557.423329807013
불륜의 시대,2031.9291938317815
인플루언스,10.38560598664978
김복남 살인사건의 전말,7387.7586360991945
