,time,dir_prev_bfnum,dir_prev_num,num_staff,num_actor,box_off_num,rank,genre_rank,screening_rat_15세 관람가,screening_rat_전체 관람가,screening_rat_청소년 관람불가
0,96,0.0,0,91,2,23398,134,11,0,0,1
5,113,837969.0,2,262,4,233211,134,9,1,0,0
23,108,75740.0,1,288,3,781516,134,8,0,0,1
41,87,4598985.0,1,182,3,38809,134,5,0,0,1
59,124,372863.0,2,319,3,2971475,134,12,0,0,1
63,115,1012310.0,1,372,5,1310895,134,8,1,0,0
76,112,5849451.0,3,310,2,402876,134,5,1,0,0
78,102,674787.666666667,3,309,6,210775,134,9,1,0,0
81,106,1205200.25,4,344,2,1208310,134,7,0,0,1
98,86,321.0,1,167,4,426706,134,6,1,0,0
105,101,0.0,0,350,3,133665,134,7,0,0,1
114,120,20.0,1,262,2,3199,134,6,1,0,0
124,135,201.0,1,650,5,3849696,134,8,1,0,0
132,127,604486.0,5,459,2,386074,134,8,1,0,0
137,92,0.0,0,252,2,130784,134,7,0,0,1
140,106,752976.0,2,243,2,334323,134,8,0,1,0
146,104,0.0,0,351,3,700272,134,8,1,0,0
161,118,1604439.0,1,260,6,497880,134,9,1,0,0
169,132,0.0,0,423,5,1867849,134,12,1,0,0
174,119,809760.8,5,372,5,472695,134,5,1,0,0
186,88,17.0,1,214,4,94875,134,5,0,0,1
195,75,0.0,0,200,6,25391,134,4,0,1,0
245,80,9438.0,1,2,5,8567,134,2,0,1,0
252,120,1013172.0,2,402,7,790181,134,8,0,0,0
254,111,0.0,0,253,6,1118258,134,11,1,0,0
264,83,0.0,0,2,9,35578,134,4,0,1,0
268,110,151105.0,1,215,5,225618,134,12,0,0,1
297,117,1158640.0,2,342,8,2684798,134,5,0,0,0
318,114,614697.5,2,364,2,1025243,134,8,1,0,0
320,122,2079989.0,1,687,4,7482180,134,11,1,0,0
330,92,0.0,0,359,5,696382,134,8,0,1,0
340,110,0.0,0,92,2,543313,134,5,0,0,0
346,108,20380.0,1,263,3,16096,134,8,1,0,0
352,114,1264761.5,4,336,3,526547,134,7,0,0,1
356,99,917362.2,5,284,3,356436,134,6,1,0,0
381,93,0.0,0,36,5,2202788,134,4,0,1,0
382,127,1187684.0,1,134,3,1507084,134,8,0,0,0
393,118,126062.0,2,288,4,4113446,134,5,0,0,0
398,117,0.0,0,499,5,1717566,134,9,0,0,0
399,121,3024666.0,1,298,4,1676040,134,9,1,0,0
409,147,7838528.5,2,583,4,4015364,134,8,0,0,1
433,115,5046096.0,1,192,2,635744,134,9,1,0,0
458,115,2429219.33333333,3,257,8,2434435,134,7,0,0,1
466,112,145.0,1,252,2,1865354,134,5,0,0,1
489,119,0.0,0,372,3,462714,134,8,0,1,0
505,130,1843894.66666667,3,868,2,8666208,134,10,0,0,0
516,112,4385472.0,2,388,2,609063,134,11,0,0,0
535,122,1347413.75,4,574,2,627586,134,8,0,0,0
543,121,120930.333333333,3,439,3,431310,134,11,1,0,0
552,107,19.0,2,215,3,210278,134,9,1,0,0
559,125,145.0,1,303,3,616481,134,7,1,0,0
566,112,385977.5,2,245,8,978413,134,9,0,0,0
1,130,1161602.5,2,387,3,7072501,144,12,0,0,1
2,123,220775.25,4,343,4,6959083,144,11,1,0,0
4,108,1.0,1,251,2,483387,144,9,1,0,0
7,96,739522.0,3,342,2,1110523,144,11,0,0,1
55,120,75740.0,1,279,2,986287,144,8,1,0,0
66,123,39555.0,1,68,3,2393103,144,8,1,0,0
101,139,1242778.0,2,298,6,9135806,144,8,1,0,0
112,133,719587.0,1,308,2,4720050,144,12,0,0,1
128,115,0.0,0,335,3,4786259,144,9,0,0,0
139,133,2266504.33333333,3,238,11,2945151,144,11,1,0,0
157,133,819049.5,2,92,4,535657,144,8,0,0,0
178,125,0.0,0,456,3,3872015,144,9,0,0,0
201,135,1949111.0,4,719,3,2192276,144,11,0,0,1
300,105,8235.0,2,110,2,1027782,144,5,1,0,0
313,115,1289931.5,2,356,6,51207,144,8,1,0,0
362,135,2564691.66666667,3,462,10,12983841,144,12,1,0,0
377,180,3131902.0,3,382,3,2084844,144,12,0,0,1
379,93,362290.0,2,197,3,867386,144,7,1,0,0
429,118,1731903.0,2,418,5,3566844,144,12,0,0,1
434,132,6081480.0,1,422,2,1329061,144,8,0,0,0
442,144,0.0,0,582,2,1817069,144,12,0,0,1
463,102,73729.0,1,357,4,970377,144,9,0,0,0
477,156,5046096.0,1,683,3,2260512,144,12,0,0,1
485,111,436101.5,2,343,2,3450305,144,12,1,0,0
498,139,5169479.0,4,628,3,12706663,144,11,1,0,0
