title,box_off_num
용서는 없다,1192480.1881313692
아빠가 여자를 좋아해,670500.7062272099
의형제,1253918.1007189807
맨발의 꿈,1122559.0869671304
더 킥,101351.52366753458
모비딕,628932.3734927694
내가 살인범이다,1365266.5318887057
간기남,618920.7457743386
동창생,1122532.3838817014
용의자,2612430.018852715
박수건달,2416180.64234546
조선미녀삼총사,830539.9693345809
군도: 민란의 시대,2375582.9129934427
극비수사,827223.823789381
사도,2204550.521682858
하모니,1098444.524102072
평행 이론,641955.7177550563
요술,215812.5193421414
마법천자문: 대마왕의 부활을 막아라,63596.6342439123
된장,460969.4797605542
티끌모아 로맨스,102590.63040304989
완득이,754199.3047216423
도가니,185047.66837307985
퀵,756881.996952284
수상한 고객들,1722934.065241141
간증,36578.21218767248
글러브,1421691.555357633
나의 PS 파트너,364993.29667002015
늑대소년,1444634.1331067842
용의자X,1300970.2956432207
I AM,171963.4895413617
시체가 돌아왔다,662073.1648660131
밀월도 가는 길,38671.84210646334
점박이:한반도의 공룡3D,56595.88191966955
댄싱퀸,1821300.709717005
좋은 친구들,995644.0160388254
사이코메트리,315014.68192886625
그 강아지 그 고양이,68444.18848303109
마이 리틀 히어로,1154861.7569130315
찌라시: 위험한 소문,1752710.9165281241
우는 남자,1247388.7804576957
표적,520044.3513948249
메이크 유어 무브,157522.69078022602
방황하는 칼날,1605659.9918165498
명량,2606168.5483027454
은밀한 유혹,1113073.4248683203
무뢰한,837411.5608440624
장수상회,983698.9879353974
돼지 같은 여자,119024.44743918453
베테랑,2079310.1064940216
회오리 바람,315.9746191059476
경계도시 2,3888.997071451152
종로의 기적,4559.280405253965
투 올드 힙합 키드,4084.430885937315
두 개의 문,4145.2920561561705
굿바이 홈런,4097.27321028811
노라노,3805.7789244146297
잡식가족의 딜레마,4176.910175224142
이웃집 남자,245.73125001871048
아마존의 눈물 극장판,1706.6715020060662
미스터 좀비,1558.3215564684112
창피해,1498.6278360152585
환타스틱 모던가야그머,1723.9633050086975
맥코리아,1344.6032891222847
한경직,1368.3945294055063
황제펭귄 펭이와 솜이,1342.3104955808426
슈퍼피쉬 - 끝없는 여정,1329.3631451427793
그댄 나의 뱀파이어,1537.8270731072491
카토 프로젝트,1251.8307093348644
원 컷 - 어느 친절한 살인자의 기록,1066.5305784910163
왓니껴,2338.9589072693752
바세코의 아이들,1501.9746954606258
"제자, 옥한흠",1924.5657359666534
